 ,Guo Huai,Pang Tong,Yuan Shao,Zhao Yun,Zhang Fei,Zhou Yu,Lu Meng,Sima Yi,Meng Da,Meng Huo,Dong Cheng,Jiang Wei,Xu Huang,Guan Yu,Zhuge Liang,Zhang He,Liu Biao,Cao Cao,Lu Su,Pang De,Xu Chu,Ma Dai,Lu Bu,Lu Xun,Cao Hong,Wei Yan,Deng Ai,Liu Zhang,Ma Chao,Cao Pi,Xiahou Yuan,Zhang Liao,Cao Zhen,Zhong Hui,Zhang Bao,Sima Zhao,Dong Zhuo,Sun Ce,Xiahou Dun,Li Jue,Liu Bei,Cao Ren,Yuan Shu,Sun Quan
Guan Yu,0.8434925,0.892746,0.86684704,0.91869926,0.95995235,0.9622135,0.8429594,0.8966942,0.82055664,0.8320074,0.8681288,0.87393093,0.76933384,1.0,0.8788328,0.8923216,0.9210129,0.42873192,0.9001198,0.77807236,0.72789764,0.83863735,0.90343094,0.8913126,0.64651585,0.88934803,0.85946274,0.8988867,0.8339405,0.6902056,0.8138161,0.8412924,0.72619534,0.89017105,0.8632746,0.8527489,0.8431425,0.8620596,0.80961704,0.81232643,0.77577686,0.6337948,0.8304281,0.8945799
Zhuge Liang,0.70884705,0.8606367,0.8243828,0.8159361,0.82880306,0.88104343,0.7583256,0.842782,0.69375706,0.7112856,0.77745056,0.80413723,0.6223879,0.8756132,1.0,0.749527,0.87837505,0.41355085,0.91686535,0.6172104,0.60474586,0.7051029,0.8833847,0.83825016,0.49683,0.79351807,0.76287174,0.8151169,0.6968832,0.65318394,0.6853514,0.7021904,0.69583225,0.8049135,0.6753588,0.77194786,0.7575178,0.76714516,0.69035053,0.68350124,0.772902,0.56784153,0.6967888,0.8476763
Zhang He,0.9903517,0.95572376,0.9463377,0.98132324,0.95992184,0.96031284,0.97604847,0.96750355,0.9725361,0.9808569,0.98629475,0.9794636,0.97057915,0.91073895,0.7977438,1.0,0.93299675,0.526443,0.9125023,0.96914196,0.93615055,0.97534466,0.94959927,0.9746542,0.85671616,0.98484135,0.986331,0.9638691,0.9907656,0.84864044,0.98322964,0.98944855,0.86284065,0.9865217,0.9780607,0.9752817,0.9783592,0.9870539,0.97571087,0.9706316,0.68758583,0.8092842,0.97359276,0.96118355
Liu Biao,0.8995466,0.9373913,0.8989506,0.94215107,0.93295,0.94250584,0.90412045,0.9376993,0.88640213,0.9022064,0.9279356,0.92012596,0.8240204,0.9127197,0.86908436,0.91068554,1.0,0.36875343,0.9371376,0.84555054,0.78709793,0.87650967,0.93673325,0.9375334,0.6411905,0.93453693,0.9076462,0.9792175,0.88708687,0.6917076,0.86719704,0.8766365,0.7293205,0.9287491,0.87623024,0.91456604,0.90332603,0.9146004,0.88238907,0.871747,0.8520441,0.6291313,0.89272594,0.92505836
Cao Cao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016901016,0.0,0.0,0.0,0.6062832,0.0,0.0,0.0,0.0,0.57423115,0.0,0.0,0.3799076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866579,0.0,0.0
Lu Su,0.8871145,0.97566986,0.96284866,0.9208393,0.9063091,0.9686117,0.93046,0.9651308,0.8685131,0.88767433,0.9375286,0.95585823,0.8373089,0.90839577,0.92572784,0.9031954,0.9478245,0.47606754,1.0,0.8273201,0.84504986,0.859149,0.98341465,0.9683771,0.6812687,0.92760086,0.92519283,0.9254503,0.886878,0.8148432,0.8899679,0.8971262,0.85645866,0.9423914,0.82670784,0.9384947,0.936079,0.9308758,0.8950882,0.85997295,0.7387428,0.7340269,0.8664541,0.9690857
Pang De,0.9886732,0.9111061,0.8724909,0.9483452,0.8882456,0.892643,0.96879864,0.90584373,0.9899664,0.98956585,0.9645128,0.94436073,0.9855585,0.80636215,0.67465115,0.96751976,0.8780432,0.5015526,0.83572006,1.0,0.9268055,0.9782276,0.88208103,0.93410015,0.86922455,0.9676285,0.96894073,0.9425955,0.9849863,0.81712914,0.9804907,0.9772768,0.7976351,0.95552254,0.96629524,0.9576311,0.9572077,0.97243214,0.97539806,0.9881239,0.5988984,0.79021263,0.98920155,0.8954735
Xu Chu,0.9525442,0.91183853,0.9400959,0.9031229,0.86804104,0.8934517,0.9596281,0.9464731,0.9250126,0.9483528,0.95715237,0.9540386,0.9590664,0.8082323,0.72865105,0.94571686,0.8642111,0.60419655,0.8809309,0.94087887,1.0,0.9082384,0.9166956,0.9388771,0.90378857,0.921731,0.9508085,0.89442444,0.9657688,0.9108343,0.9679756,0.972394,0.9212923,0.9386339,0.90108013,0.9676256,0.9741869,0.95380974,0.9781103,0.929533,0.5973921,0.9071512,0.9214611,0.9350233
Ma Dai,0.9774647,0.9308834,0.8701515,0.9701824,0.91290283,0.9201803,0.96212196,0.9063864,0.99082375,0.9746218,0.9579077,0.9474764,0.97413254,0.848958,0.7311096,0.9721594,0.89539146,0.46526957,0.856246,0.9766426,0.8781252,1.0,0.9043274,0.946949,0.82363224,0.984046,0.97682285,0.9547548,0.97352505,0.7867594,0.9671879,0.9647007,0.7770462,0.9667473,0.9711342,0.94051933,0.9412823,0.9698429,0.94742584,0.9902954,0.6311302,0.7370024,0.9817705,0.9037609
Lu Bu,0.9333601,0.9891758,0.9778948,0.95958614,0.93315315,0.9789543,0.9644022,0.9866133,0.91758156,0.92999077,0.96757984,0.981287,0.90563965,0.918313,0.9039097,0.9485693,0.9515686,0.5167732,0.9847021,0.8856802,0.9000139,0.9135418,1.0,0.98918533,0.7626791,0.95949364,0.96422577,0.9483881,0.9378567,0.8534517,0.9378433,0.9427872,0.89425087,0.97676086,0.8841057,0.96747494,0.9663696,0.9609041,0.93397236,0.9143305,0.72733116,0.78531456,0.914052,0.99098873
Lu Xun,0.96982956,0.99392414,0.9733038,0.97530746,0.93766403,0.9789381,0.9878254,0.98759365,0.95873165,0.96756077,0.989851,0.9961748,0.94731045,0.90746784,0.8658562,0.97396946,0.9518709,0.5136428,0.97064495,0.93569946,0.9261627,0.9517479,0.9891157,1.0,0.7988548,0.984478,0.98968124,0.9672499,0.9714451,0.8621502,0.9725628,0.9733715,0.8895674,0.9932976,0.92410564,0.9868536,0.98658943,0.98892593,0.96786785,0.9552498,0.7040963,0.7969675,0.95407295,0.9886646
Cao Hong,0.83950233,0.73117065,0.7593508,0.7715559,0.7319956,0.71718884,0.80394936,0.76976967,0.81705284,0.82516384,0.80763817,0.7918625,0.8680649,0.65350914,0.5195532,0.8305712,0.6817074,0.77953196,0.6593485,0.85308456,0.86618423,0.8153095,0.72499275,0.76841164,1.0,0.78453255,0.8143234,0.74298763,0.8515234,0.9173403,0.84889126,0.8460312,0.86549187,0.793499,0.82825565,0.8022394,0.81483746,0.8103237,0.83838177,0.8239889,0.4400344,0.95298195,0.81506824,0.759037
Wei Yan,0.98372746,0.9750061,0.92649937,0.9891434,0.9438791,0.96535397,0.9838562,0.9558773,0.9858341,0.9831734,0.9842024,0.98055935,0.9619074,0.89641,0.81169987,0.98288155,0.9445381,0.46519184,0.92609787,0.9652662,0.8960304,0.9840441,0.95517063,0.98293114,0.79421234,1.0,0.99073124,0.9804497,0.9789562,0.80996704,0.9752474,0.97433853,0.8195305,0.9914923,0.9601793,0.973011,0.9710264,0.989666,0.96487904,0.98076344,0.69063234,0.7452774,0.98218346,0.9546623
Deng Ai,0.9882927,0.9782438,0.9509592,0.97717285,0.927536,0.96083736,0.99368477,0.96958065,0.9835024,0.98433495,0.99099255,0.9920635,0.9805088,0.88295364,0.80762005,0.9862671,0.9303913,0.52422,0.9320679,0.9703531,0.9418688,0.97937775,0.96477795,0.9899063,0.8422384,0.99175453,1.0,0.96655273,0.9909363,0.8671274,0.9918146,0.9897995,0.8800869,0.9949703,0.95038795,0.98565674,0.9878206,0.9957428,0.98073673,0.98261166,0.66611814,0.812665,0.9753132,0.969635
Liu Zhang,0.9565449,0.95379066,0.8941889,0.97591877,0.93706703,0.94771004,0.95249844,0.9396162,0.95923615,0.9611254,0.9608383,0.94954777,0.9105568,0.8926687,0.80882645,0.95373344,0.9800358,0.39359856,0.9137163,0.93016243,0.84098434,0.94869137,0.9352331,0.9591656,0.7216749,0.97783184,0.95737076,1.0,0.94632626,0.7316017,0.9306154,0.932559,0.747756,0.9659395,0.93522453,0.9488592,0.9393549,0.9590864,0.9330168,0.9473114,0.7798104,0.6703787,0.9597473,0.9301872
Ma Chao,0.99650383,0.95227814,0.9400978,0.9692669,0.9269419,0.93979263,0.9869919,0.9613924,0.9839773,0.9914284,0.9894762,0.9811125,0.9892626,0.8660269,0.7617836,0.9910116,0.9175596,0.5391159,0.9004898,0.9861164,0.96081257,0.9771805,0.9407301,0.9729395,0.87779427,0.981864,0.9912195,0.9592056,1.0,0.86695194,0.99488544,0.99558544,0.8733692,0.9843426,0.96768856,0.98406506,0.98745346,0.99136734,0.9904337,0.9826622,0.6540828,0.8330784,0.98181057,0.95385265
Cao Pi,0.8439512,0.8532429,0.8840189,0.80766773,0.76612663,0.82116127,0.8623848,0.86578083,0.81816673,0.8317175,0.85937595,0.87641716,0.85954475,0.7369137,0.7130985,0.8449383,0.76306534,0.7934437,0.8285532,0.82201195,0.8925562,0.8065357,0.85287285,0.8624964,0.92838573,0.8276167,0.86451435,0.78527355,0.859951,1.0,0.87571526,0.8682518,0.9846287,0.8583212,0.7799406,0.86581326,0.8781042,0.859828,0.8626299,0.82001877,0.51486254,0.9742527,0.8085184,0.8739853
Xiahou Yuan,0.99168015,0.95683193,0.94325256,0.96026134,0.9108896,0.9372616,0.9901848,0.9578228,0.9813309,0.9862242,0.98757553,0.98318195,0.9894428,0.8547764,0.76092625,0.98421955,0.9062557,0.5544095,0.9064207,0.9825592,0.9645567,0.9726572,0.9426861,0.9748621,0.879756,0.9793768,0.99233437,0.9490156,0.99505615,0.88584614,1.0,0.9958792,0.8901596,0.9823952,0.9527807,0.9847622,0.98876286,0.9922199,0.9909258,0.9818659,0.63073635,0.84736633,0.9754267,0.95435905
Zhang Liao,0.99151707,0.95520306,0.94959927,0.9637413,0.927701,0.9457817,0.9885731,0.96392345,0.9762745,0.98531723,0.988554,0.9840164,0.9858532,0.8732252,0.76826954,0.989831,0.91082096,0.5436759,0.9104004,0.9791956,0.96870995,0.96987534,0.94597244,0.9750147,0.87452793,0.97810364,0.9902153,0.94924927,0.9956293,0.87607574,0.99577904,1.0,0.8852377,0.9830055,0.9596596,0.9867039,0.9902897,0.991642,0.990675,0.9767742,0.6406908,0.8419905,0.97347736,0.9590874
Cao Zhen,0.8706913,0.8983469,0.93782806,0.85100365,0.8221369,0.87456036,0.89418507,0.9205351,0.8377056,0.8572769,0.8972683,0.9154787,0.8748274,0.8040924,0.78800106,0.88161373,0.8247309,0.7465415,0.8880167,0.83405495,0.9200926,0.8295765,0.910552,0.9071903,0.90181637,0.86207104,0.8969822,0.8299751,0.88769627,0.9870491,0.8992424,0.89720535,1.0,0.8966341,0.8080263,0.9034462,0.9141035,0.89159966,0.8910532,0.8410673,0.5912571,0.9567728,0.82997704,0.92702675
